,scenario,m1,m2,pearson_r,pearson_p,spearman_r,spearman_p
0,S0_NoAlgorithm,viral_reach,peak_engaged,0.5909302451727118,0.0005852678459896097,0.5434262260295838,0.0019124876252622923
1,S0_NoAlgorithm,viral_reach,time_to_viral,-0.5133093830895076,0.0037202699794774727,-0.320537166149145,0.08417589410742127
2,S0_NoAlgorithm,viral_reach,lifetime,-0.10093963729370241,0.5956019637777986,-0.11461349966584983,0.5464540633781133
3,S0_NoAlgorithm,viral_reach,decay_rate,-0.21191006873349477,0.2609340288134119,-0.22150494699453685,0.23944968915263068
4,S0_NoAlgorithm,viral_reach,auc_engaged,0.9292540396105621,1.2455575624464392e-13,0.888208489594009,5.815615439007969e-11
5,S0_NoAlgorithm,peak_engaged,time_to_viral,-0.4856779463554065,0.006512678418567975,-0.3376360867757652,0.06804112570761546
6,S0_NoAlgorithm,peak_engaged,lifetime,-0.14353274002122784,0.4492374127318185,-0.1859794766978814,0.3251217949775079
7,S0_NoAlgorithm,peak_engaged,decay_rate,-0.08915027961929092,0.6394396139037662,-0.1726914894672921,0.3614733816068041
8,S0_NoAlgorithm,peak_engaged,auc_engaged,0.6086427983345215,0.00035859826385361903,0.5502752195500056,0.0016296573528180192
9,S0_NoAlgorithm,time_to_viral,lifetime,0.07008805615771155,0.7128514544488291,0.08609608130237252,0.6510012947139906
10,S0_NoAlgorithm,time_to_viral,decay_rate,-0.025679124331254577,0.8928523456559537,0.03289382140320201,0.8629990779211775
11,S0_NoAlgorithm,time_to_viral,auc_engaged,-0.5295877081623795,0.0026161139531166357,-0.3887019838952558,0.03376836673172324
12,S0_NoAlgorithm,lifetime,decay_rate,-0.0022947194188161235,0.9903979944643326,-0.1264470451184894,0.505519297367071
13,S0_NoAlgorithm,lifetime,auc_engaged,-0.06363557927377506,0.738322976479174,0.008128271247381554,0.9659970863185304
14,S0_NoAlgorithm,decay_rate,auc_engaged,-0.30036124551083876,0.1068030433386962,-0.31667966602524555,0.0881903386749652
15,S1_Baseline,viral_reach,peak_engaged,0.3811726126729085,0.03768618167349099,0.29546861259760654,0.11291906471244315
16,S1_Baseline,viral_reach,time_to_viral,-0.2780927089611243,0.13675471075435525,-0.18549548236547184,0.32640492727375836
17,S1_Baseline,viral_reach,lifetime,0.09374408930391011,0.6222052591276385,0.05886945710889383,0.7573151831262287
18,S1_Baseline,viral_reach,decay_rate,0.2526483525539619,0.1779853666954349,0.2163549868723211,0.2508296915837883
19,S1_Baseline,viral_reach,auc_engaged,0.8149838989977088,4.1824901189757334e-08,0.7331185515871759,4.07046334970684e-06
20,S1_Baseline,peak_engaged,time_to_viral,-0.16977675159088446,0.36975705875509246,-0.2233816892324393,0.23538958112729758
