,group1,group2,meandiff,p-adj,lower,upper,reject,metric
0,S0_NoAlgorithm,S1_Baseline,0.1109,0.0,0.0803,0.1414,True,viral_reach
1,S0_NoAlgorithm,S2_AlgoBoostOnly,-0.056,0.0,-0.0865,-0.0254,True,viral_reach
2,S0_NoAlgorithm,S3_HighEngagementOnly,0.2076,0.0,0.1771,0.2381,True,viral_reach
3,S0_NoAlgorithm,S4_BoostPlusEngagement,0.1775,0.0,0.1469,0.208,True,viral_reach
4,S0_NoAlgorithm,S5_InfluencerSeed,0.1196,0.0,0.089,0.1501,True,viral_reach
5,S1_Baseline,S2_AlgoBoostOnly,-0.1668,0.0,-0.1974,-0.1363,True,viral_reach
6,S1_Baseline,S3_HighEngagementOnly,0.0967,0.0,0.0662,0.1273,True,viral_reach
7,S1_Baseline,S4_BoostPlusEngagement,0.0666,0.0,0.0361,0.0971,True,viral_reach
8,S1_Baseline,S5_InfluencerSeed,0.0087,0.9634,-0.0218,0.0392,False,viral_reach
9,S2_AlgoBoostOnly,S3_HighEngagementOnly,0.2636,0.0,0.233,0.2941,True,viral_reach
10,S2_AlgoBoostOnly,S4_BoostPlusEngagement,0.2334,0.0,0.2029,0.264,True,viral_reach
11,S2_AlgoBoostOnly,S5_InfluencerSeed,0.1755,0.0,0.145,0.2061,True,viral_reach
12,S3_HighEngagementOnly,S4_BoostPlusEngagement,-0.0301,0.0555,-0.0607,0.0004,False,viral_reach
13,S3_HighEngagementOnly,S5_InfluencerSeed,-0.088,0.0,-0.1186,-0.0575,True,viral_reach
14,S4_BoostPlusEngagement,S5_InfluencerSeed,-0.0579,0.0,-0.0884,-0.0274,True,viral_reach
15,S0_NoAlgorithm,S1_Baseline,4.4,0.716,-4.541,13.341,False,peak_engaged
16,S0_NoAlgorithm,S2_AlgoBoostOnly,54.3333,0.0,45.3923,63.2743,True,peak_engaged
17,S0_NoAlgorithm,S3_HighEngagementOnly,34.9333,0.0,25.9923,43.8743,True,peak_engaged
18,S0_NoAlgorithm,S4_BoostPlusEngagement,141.9,0.0,132.959,150.841,True,peak_engaged
19,S0_NoAlgorithm,S5_InfluencerSeed,5.3333,0.5212,-3.6077,14.2743,False,peak_engaged
20,S1_Baseline,S2_AlgoBoostOnly,49.9333,0.0,40.9923,58.8743,True,peak_engaged
21,S1_Baseline,S3_HighEngagementOnly,30.5333,0.0,21.5923,39.4743,True,peak_engaged
22,S1_Baseline,S4_BoostPlusEngagement,137.5,0.0,128.559,146.441,True,peak_engaged
23,S1_Baseline,S5_InfluencerSeed,0.9333,0.9997,-8.0077,9.8743,False,peak_engaged
24,S2_AlgoBoostOnly,S3_HighEngagementOnly,-19.4,0.0,-28.341,-10.459,True,peak_engaged
25,S2_AlgoBoostOnly,S4_BoostPlusEngagement,87.5667,0.0,78.6257,96.5077,True,peak_engaged
26,S2_AlgoBoostOnly,S5_InfluencerSeed,-49.0,0.0,-57.941,-40.059,True,peak_engaged
27,S3_HighEngagementOnly,S4_BoostPlusEngagement,106.9667,0.0,98.0257,115.9077,True,peak_engaged
28,S3_HighEngagementOnly,S5_InfluencerSeed,-29.6,0.0,-38.541,-20.659,True,peak_engaged
29,S4_BoostPlusEngagement,S5_InfluencerSeed,-136.5667,0.0,-145.5077,-127.6257,True,peak_engaged
30,S0_NoAlgorithm,S1_Baseline,-3.4667,0.0057,-6.251,-0.6824,True,time_to_viral
31,S0_NoAlgorithm,S2_AlgoBoostOnly,0.3667,0.999,-2.4176,3.151,False,time_to_viral
32,S0_NoAlgorithm,S3_HighEngagementOnly,-5.4333,0.0,-8.2176,-2.649,True,time_to_viral
33,S0_NoAlgorithm,S4_BoostPlusEngagement,-6.7,0.0,-9.4843,-3.9157,True,time_to_viral
34,S0_NoAlgorithm,S5_InfluencerSeed,-8.5667,0.0,-11.351,-5.7824,True,time_to_viral
35,S1_Baseline,S2_AlgoBoostOnly,3.8333,0.0015,1.049,6.6176,True,time_to_viral
36,S1_Baseline,S3_HighEngagementOnly,-1.9667,0.3267,-4.751,0.8176,False,time_to_viral
37,S1_Baseline,S4_BoostPlusEngagement,-3.2333,0.0127,-6.0176,-0.449,True,time_to_viral
38,S1_Baseline,S5_InfluencerSeed,-5.1,0.0,-7.8843,-2.3157,True,time_to_viral
39,S2_AlgoBoostOnly,S3_HighEngagementOnly,-5.8,0.0,-8.5843,-3.0157,True,time_to_viral
40,S2_AlgoBoostOnly,S4_BoostPlusEngagement,-7.0667,0.0,-9.851,-4.2824,True,time_to_viral
41,S2_AlgoBoostOnly,S5_InfluencerSeed,-8.9333,0.0,-11.7176,-6.149,True,time_to_viral
42,S3_HighEngagementOnly,S4_BoostPlusEngagement,-1.2667,0.7787,-4.051,1.5176,False,time_to_viral
43,S3_HighEngagementOnly,S5_InfluencerSeed,-3.1333,0.0175,-5.9176,-0.349,True,time_to_viral
44,S4_BoostPlusEngagement,S5_InfluencerSeed,-1.8667,0.3863,-4.651,0.9176,False,time_to_viral
45,S0_NoAlgorithm,S1_Baseline,56.5667,0.0,36.5411,76.5922,True,lifetime
46,S0_NoAlgorithm,S2_AlgoBoostOnly,-37.8,0.0,-57.8256,-17.7744,True,lifetime
47,S0_NoAlgorithm,S3_HighEngagementOnly,-35.5,0.0,-55.5256,-15.4744,True,lifetime
48,S0_NoAlgorithm,S4_BoostPlusEngagement,-40.5333,0.0,-60.5589,-20.5078,True,lifetime
49,S0_NoAlgorithm,S5_InfluencerSeed,51.9667,0.0,31.9411,71.9922,True,lifetime
50,S1_Baseline,S2_AlgoBoostOnly,-94.3667,0.0,-114.3922,-74.3411,True,lifetime
51,S1_Baseline,S3_HighEngagementOnly,-92.0667,0.0,-112.0922,-72.0411,True,lifetime
52,S1_Baseline,S4_BoostPlusEngagement,-97.1,0.0,-117.1256,-77.0744,True,lifetime
53,S1_Baseline,S5_InfluencerSeed,-4.6,0.9858,-24.6256,15.4256,False,lifetime
54,S2_AlgoBoostOnly,S3_HighEngagementOnly,2.3,0.9995,-17.7256,22.3256,False,lifetime
55,S2_AlgoBoostOnly,S4_BoostPlusEngagement,-2.7333,0.9988,-22.7589,17.2922,False,lifetime
56,S2_AlgoBoostOnly,S5_InfluencerSeed,89.7667,0.0,69.7411,109.7922,True,lifetime
57,S3_HighEngagementOnly,S4_BoostPlusEngagement,-5.0333,0.9787,-25.0589,14.9922,False,lifetime
58,S3_HighEngagementOnly,S5_InfluencerSeed,87.4667,0.0,67.4411,107.4922,True,lifetime
59,S4_BoostPlusEngagement,S5_InfluencerSeed,92.5,0.0,72.4744,112.5256,True,lifetime
60,S0_NoAlgorithm,S1_Baseline,0.0048,0.814,-0.0062,0.0157,False,decay_rate
