viral_reach,peak_engaged,peak_tick,time_to_viral,lifetime,decay_rate,auc_engaged,final_fatigued,scenario,seed
0.3,22,12,9,29,-0.014035531318544204,583.0,597,S0_NoAlgorithm,1002
0.273,14,38,13,54,-0.009186509014177264,524.0,570,S0_NoAlgorithm,1000
0.265,21,9,6,30,-0.016831836330304016,552.0,544,S0_NoAlgorithm,1001
0.278,27,11,7,32,-0.014237978777300021,548.0,568,S0_NoAlgorithm,1003
0.295,31,10,4,25,-0.010762434015453393,628.0,583,S0_NoAlgorithm,1005
0.299,32,6,4,68,-0.01844461157059155,617.0,606,S0_NoAlgorithm,1004
0.237,10,25,16,42,-0.009818433532952064,458.0,527,S0_NoAlgorithm,1006
0.281,28,13,10,106,-0.011951170299894594,574.0,557,S0_NoAlgorithm,1009
0.299,27,9,8,34,-0.012590280395799751,584.0,584,S0_NoAlgorithm,1007
0.304,22,9,6,37,-0.019371756366236597,643.0,605,S0_NoAlgorithm,1010
0.247,14,28,24,43,-0.02689453400564901,514.0,538,S0_NoAlgorithm,1011
0.28,21,17,12,64,-0.016014266731227817,598.0,547,S0_NoAlgorithm,1012
0.285,21,16,8,154,-0.015898073814868224,589.0,570,S0_NoAlgorithm,1014
0.25,20,17,16,55,-0.013501421022454548,457.0,546,S0_NoAlgorithm,1016
0.274,23,12,7,29,-0.0112887502565765,502.0,577,S0_NoAlgorithm,1013
0.274,20,9,8,24,-0.015436985511239234,551.0,562,S0_NoAlgorithm,1015
0.288,19,17,7,27,-0.009722031240767828,560.0,574,S0_NoAlgorithm,1017
0.31,26,13,8,50,-0.019261276833811694,607.0,613,S0_NoAlgorithm,1008
0.287,18,12,8,44,-0.015791758182748167,589.0,574,S0_NoAlgorithm,1018
0.265,20,18,15,39,-0.0232511685863858,510.0,562,S0_NoAlgorithm,1019
0.267,18,24,21,29,-0.016008772012136366,524.0,570,S0_NoAlgorithm,1020
0.28,13,5,6,74,-0.013833539217154312,570.0,556,S0_NoAlgorithm,1021
0.311,15,18,17,63,-0.017871440149307614,616.0,591,S0_NoAlgorithm,1023
0.29,20,9,4,32,-0.025507911552506347,598.0,547,S0_NoAlgorithm,1022
